1	3	11	9	19	17	25	27
4	2	10	12	18	20	28	26
7	5	13	15	21	23	31	29
6	8	16	14	24	22	30	32
1	2	10	9	18	17	25	26
4	3	11	12	19	20	28	27
6	5	13	14	21	22	30	29
7	8	16	15	24	23	31	32
1	2	10	9	18	17	25	26
4	3	11	12	19	20	28	27
6	5	13	14	21	22	30	29
7	8	16	15	24	23	31	32
1	3	11	9	19	17	25	27
4	2	10	12	18	20	28	26
7	5	13	15	21	23	31	29
6	8	16	14	24	22	30	32
1	2	10	9	18	17	25	26
4	3	11	12	19	20	28	27
6	5	13	14	21	22	30	29
7	8	16	15	24	23	31	32
1	2	10	9	18	17	25	26
6	5	13	14	21	22	30	29
4	3	11	12	19	20	28	27
7	8	16	15	24	23	31	32
1	5	13	9	21	17	25	29
7	3	11	15	19	23	31	27
6	2	10	14	18	22	30	26
4	8	16	12	24	20	28	32
1	3	11	9	19	17	25	27
7	5	13	15	21	23	31	29
4	2	10	12	18	20	28	26
6	8	16	14	24	22	30	32
1	2	10	9	18	17	25	26
4	3	11	12	19	20	28	27
6	5	13	14	21	22	30	29
7	8	16	15	24	23	31	32
1	2	10	9	18	17	25	26
4	3	11	12	19	20	28	27
6	5	13	14	21	22	30	29
7	8	16	15	24	23	31	32
1	9	10	2	18	26	25	17
4	12	11	3	19	27	28	20
6	14	13	5	21	29	30	22
7	15	16	8	24	32	31	23
1	5	13	9	21	17	25	29
7	3	11	15	19	23	31	27
6	2	10	14	18	22	30	26
4	8	16	12	24	20	28	32
1	3	11	9	19	17	25	27
7	5	13	15	21	23	31	29
4	2	10	12	18	20	28	26
6	8	16	14	24	22	30	32
1	2	10	9	18	17	25	26
4	3	11	12	19	20	28	27
6	5	13	14	21	22	30	29
7	8	16	15	24	23	31	32
1	2	10	9	18	17	25	26
4	3	11	12	19	20	28	27
6	5	13	14	21	22	30	29
7	8	16	15	24	23	31	32
1	17	10	26	18	2	25	9
4	20	11	27	19	3	28	12
6	22	13	29	21	5	30	14
7	23	16	32	24	8	31	15
1	9	10	2	18	26	25	17
4	12	11	3	19	27	28	20
6	14	13	5	21	29	30	22
7	15	16	8	24	32	31	23
1	5	13	9	21	17	25	29
7	3	11	15	19	23	31	27
6	2	10	14	18	22	30	26
4	8	16	12	24	20	28	32
1	3	11	9	19	17	25	27
7	5	13	15	21	23	31	29
4	2	10	12	18	20	28	26
6	8	16	14	24	22	30	32
1	2	10	9	18	17	25	26
4	3	11	12	19	20	28	27
6	5	13	14	21	22	30	29
7	8	16	15	24	23	31	32
1	3	11	9	19	17	25	27
4	2	10	12	18	20	28	26
7	5	13	15	21	23	31	29
6	8	16	14	24	22	30	32
